cohort,mode,criterion,fold,n,n_pred_AD,bal_acc,degenerate,direction,mean_prob,positive_rate,oe,ece,aece,mce,brier
adni,clinical,neg_brier,1,1287,552,0.7441249168428967,False,working,0.4807702274334551,0.33644133644133645,0.0607556792126447,0.1452807469732,0.14481510854128635,0.22154787907529408,0.19229366843971019
adni,clinical,neg_brier,2,1287,493,0.7247215927221985,False,working,0.4735561784099217,0.33644133644133645,0.05456211531271133,0.1440465308337964,0.15878056736537072,0.2963780462741852,0.2000127074795067
adni,clinical,neg_brier,3,1287,621,0.7367908659696794,False,working,0.4949254821739923,0.33644133644133645,0.07061816813921856,0.17291010711298682,0.18738099335234762,0.2813489078481992,0.20905596154349834
adni,clinical,neg_brier,4,1287,474,0.7132229259401486,False,working,0.43334722582601076,0.33644133644133645,0.042968419007675875,0.09690588938467429,0.09690588938467432,0.11775670108729841,0.18197347249571802
adni,clinical,neg_brier,5,1287,505,0.693332828531405,False,working,0.46994506143375064,0.33644133644133645,0.05657521545211297,0.13536548593661168,0.14939501793605,0.20274418592453006,0.19800223498753178
adni,imaging,auc,1,1287,1024,0.626137832560806,False,working,0.6256670298484656,0.33644133644133645,0.16814542783201336,0.2915564500947469,0.29262166938627976,0.3827851529016435,0.2541204197154894
adni,imaging,auc,2,1287,0,0.5,True,all_CN,0.04130826004011597,0.33644133644133645,0.0,0.2951330764012204,0.2951330764012205,0.8660151572788464,0.30383811640589226
adni,imaging,auc,3,1287,486,0.7166384518446003,False,working,0.4080957087580326,0.33644133644133645,0.04137180809548461,0.07763445931946295,0.07814296208200479,0.19738141920255575,0.1822754380002458
adni,imaging,auc,4,1287,595,0.6406396201004916,False,working,0.481311770177735,0.33644133644133645,0.14713821823963613,0.21204791340481988,0.21468316245803837,0.5393245082635146,0.26624646779438577
adni,imaging,auc,5,1287,473,0.67900411593858,False,working,0.39309455799959203,0.33644133644133645,0.08852793329393854,0.16632062695173672,0.160238994011929,0.5038599388315044,0.21939176769221125
adni,imaging,neg_brier,1,1287,738,0.72049613015236,False,working,0.5647509655761066,0.33644133644133645,0.17677523914056298,0.23474268427823483,0.23456189621213847,0.4706036010567023,0.24023188094675205
adni,imaging,neg_brier,2,1287,730,0.6677528922446199,False,working,0.5104842204267699,0.33644133644133645,0.09571411981917255,0.18224864152622666,0.18103440563254514,0.3004617289425855,0.21762348811591026
adni,imaging,neg_brier,3,1287,461,0.7817416748246264,False,working,0.40784508177161033,0.33644133644133645,0.03750554036244413,0.08133410541709762,0.08314401987236698,0.24495242158571878,0.15283049223453232
adni,imaging,neg_brier,4,1287,595,0.6406396201004916,False,working,0.481311770177735,0.33644133644133645,0.14713821823963613,0.21204791340481988,0.21468316245803837,0.5393245082635146,0.26624646779438577
adni,imaging,neg_brier,5,1287,473,0.67900411593858,False,working,0.39309455799959203,0.33644133644133645,0.08852793329393854,0.16632062695173672,0.160238994011929,0.5038599388315044,0.21939176769221125
